Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
SAO PAULO;SUDESTE;PILAR DO SUL_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;GENERAL SALGADO_SP;JALES;SIM;SIM;SIM
PARANA;SUL;ALTONIA_PR;UMUARAMA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;JUIZ DE FORA_MG;JUIZ DE FORA;SIM;SIM;SIM
SAO PAULO;SUDESTE;COTIA_SP;OSASCO;SIM;SIM;SIM
SAO PAULO;SUDESTE;SAO MIGUEL ARCANJO_SP;SOROCABA;SIM;SIM;SIM
GOIAS;CENTRO-OESTE;GOIANIA_GO;GOIANIA;SIM;SIM;SIM
SAO PAULO;SUDESTE;FERNANDOPOLIS_SP;JALES;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;RAPOSOS_MG;BELO HORIZONTE;SIM;SIM;SIM
SAO PAULO;SUDESTE;ITAPETININGA_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;SAO PAULO_SP;SAO PAULO;SIM;SIM;SIM
SAO PAULO;SUDESTE;CAIEIRAS_SP;SAO PAULO;SIM;SIM;SIM
PARANA;SUL;ARAUCARIA_PR;CURITIBA;SIM;SIM;SIM
SAO PAULO;SUDESTE;GUAREI_SP;SOROCABA;SIM;SIM;SIM
SANTA CATARINA;SUL;ANGELINA_SC;FLORIANOPOLIS;SIM;SIM;SIM
SAO PAULO;SUDESTE;SUMARE_SP;CAMPINAS;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;IVORA_RS;LAJEADO;SIM;SIM;SIM
SANTA CATARINA;SUL;SAO BONIFACIO_SC;FLORIANOPOLIS;SIM;SIM;SIM
SAO PAULO;SUDESTE;ARACOIABA DA SERRA_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;SANTA RITA D'OESTE_SP;JALES;SIM;SIM;SIM
SANTA CATARINA;SUL;MELEIRO_SC;CRICIUMA;SIM;SIM;SIM
