cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
3200136;Águia Branca;2.278;5.934;61,10%;0,296;0,369;0,106;0,073;0,662;0,326;0,237
2500205;Aguiar;1.905;4.378;87,50%;0,275;0,238;0,037;0,051;0,701;0,392;0,23
1700301;Aguiarnópolis;1.204;3.364;74,80%;0,27;0,356;0,101;0,073;0,629;0,276;0,188
3101102;Aimorés;5.597;13.012;51,50%;0,264;0,371;0,077;0,029;0,628;0,36;0,119
2900603;Aiquara;1.785;3.487;78,40%;0,282;0,301;0,051;0,07;0,714;0,404;0,15
2300408;Aiuaba;5.133;11.104;78,90%;0,284;0,269;0,049;0,026;0,67;0,48;0,211
3101201;Aiuruoca;807;1.784;28,60%;0,257;0,327;0,092;0,056;0,667;0,234;0,166
4300208;Ajuricaba;677;1.462;21,80%;0,285;0,346;0,06;0,085;0,686;0,384;0,151
3101300;Alagoa;558;1.306;47,50%;0,271;0,307;0,07;0,036;0,646;0,434;0,131
2500304;Alagoa Grande;8.727;20.643;79,20%;0,289;0,309;0,082;0,059;0,73;0,419;0,133
2500403;Alagoa Nova;6.051;15.242;72,50%;0,29;0,322;0,079;0,07;0,707;0,385;0,177
2600609;Alagoinha;4.820;10.511;77,60%;0,295;0,28;0,073;0,081;0,672;0,45;0,213
2500502;Alagoinha;4.668;10.499;76,50%;0,315;0,322;0,089;0,068;0,77;0,481;0,157
2200251;Alagoinha do Piauí;2.483;5.176;75,90%;0,29;0,243;0,047;0,027;0,698;0,488;0,233
2900702;Alagoinhas;44.596;91.391;60,50%;0,262;0,308;0,061;0,04;0,637;0,423;0,101
3500758;Alambari;930;2.270;37,00%;0,252;0,427;0,096;0,048;0,619;0,252;0,07
3101409;Albertina;447;1.146;38,80%;0,278;0,382;0,064;0,061;0,667;0,385;0,108
2100204;Alcântara;8.501;16.994;92,00%;0,289;0,227;0,053;0,045;0,627;0,482;0,301
2300507;Alcântaras;2.846;8.094;71,20%;0,28;0,353;0,067;0,03;0,664;0,341;0,222
2500536;Alcantil;1.601;4.051;72,60%;0,297;0,315;0,067;0,038;0,686;0,428;0,249
5000252;Alcinópolis;1.416;3.116;68,70%;0,285;0,382;0,088;0,068;0,658;0,414;0,102
2900801;Alcobaça;8.563;20.007;81,60%;0,307;0,342;0,096;0,073;0,691;0,407;0,236
2100303;Aldeias Altas;5.697;16.264;69,80%;0,317;0,38;0,079;0,046;0,696;0,423;0,28
4300307;Alecrim;1.640;3.470;56,70%;0,274;0,322;0,065;0,041;0,641;0,404;0,168
3200201;Alegre;6.808;15.400;52,80%;0,267;0,317;0,071;0,037;0,641;0,407;0,126
4300406;Alegrete;11.136;24.934;34,40%;0,264;0,418;0,092;0,05;0,614;0,325;0,082
2200277;Alegrete do Piauí;1.607;3.415;73,70%;0,278;0,29;0,045;0,028;0,665;0,459;0,183
4300455;Alegria;726;1.587;43,50%;0,299;0,331;0,052;0,047;0,681;0,377;0,307
3101508;Além Paraíba;7.612;16.537;53,80%;0,271;0,358;0,064;0,078;0,635;0,409;0,08
1500404;Alenquer;18.263;47.032;67,80%;0,373;0,369;0,124;0,122;0,738;0,481;0,402
2400505;Alexandria;4.199;9.720;71,30%;0,269;0,273;0,043;0,043;0,696;0,424;0,132
5200308;Alexânia;8.246;18.302;67,80%;0,323;0,368;0,101;0,054;0,649;0,486;0,28
3101607;Alfenas;14.465;30.671;38,80%;0,262;0,368;0,083;0,035;0,608;0,368;0,107
3200300;Alfredo Chaves;2.333;5.743;41,50%;0,247;0,347;0,069;0,019;0,613;0,303;0,128
3500808;Alfredo Marcondes;857;2.155;48,50%;0,25;0,362;0,058;0,062;0,614;0,324;0,081
3101631;Alfredo Vasconcelos;1.347;3.682;53,10%;0,229;0,354;0,099;0,026;0,605;0,2;0,091
4200705;Alfredo Wagner;1.124;3.116;29,70%;0,29;0,385;0,096;0,076;0,641;0,295;0,25
2500577;Algodão de Jandaíra;1.016;2.561;86,70%;0,312;0,29;0,074;0,042;0,733;0,479;0,252
2500601;Alhandra;7.168;16.804;77,30%;0,291;0,362;0,077;0,045;0,662;0,432;0,171
2600708;Aliança;12.929;26.833;75,10%;0,29;0,307;0,057;0,032;0,718;0,464;0,164
1700350;Aliança do Tocantins;1.557;3.652;71,00%;0,287;0,368;0,073;0,073;0,659;0,398;0,15
2900900;Almadina;2.487;4.136;79,30%;0,279;0,274;0,051;0,037;0,739;0,505;0,071
1700400;Almas;2.257;5.601;86,20%;0,29;0,384;0,1;0,027;0,657;0,341;0,229
1500503;Almeirim;9.179;25.158;73,40%;0,331;0,364;0,128;0,092;0,688;0,467;0,247
3101706;Almenara;11.669;25.592;63,40%;0,281;0,345;0,071;0,057;0,676;0,422;0,113
2400604;Almino Afonso;1.712;3.889;83,00%;0,311;0,251;0,04;0,038;0,686;0,463;0,389
4100400;Almirante Tamandaré;20.507;51.153;42,70%;0,275;0,447;0,134;0,045;0,604;0,318;0,1
