cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
2505105;2021;220439;15686;204753;24375;6624;71799;101955
3117900;2021;220411;22661;197750;18052;22190;98220;59288
2306108;2021;220294;13689;206605;21074;14546;65103;105882
5215900;2021;220046;22922;197124;98644;7183;66700;24597
4216057;2021;219792;26327;193465;28269;66089;65446;33661
5211404;2021;219235;22204;197032;30610;47402;77903;41117
2804201;2021;218953;16164;202788;43273;9868;59210;90437
2309508;2021;218899;11105;207794;33614;7586;68849;97746
3512506;2021;218777;18592;200185;63908;37005;68662;30611
2110104;2021;218496;12770;205726;22557;7924;63986;111259
2501906;2021;218067;23959;194108;9453;26564;66019;92072
3534906;2021;217695;10602;207093;36833;5200;100087;64972
5219001;2021;217555;17651;199903;40529;32092;85641;41641
2806206;2021;217519;13588;203931;25868;11063;57026;109974
2905305;2021;217397;16514;200882;32111;23366;62427;82978
2208874;2021;217390;1677;215713;5937;173998;7051;28727
1300029;2021;217333;4045;213287;66407;10232;32276;104372
3500550;2021;217296;12993;204302;70379;9944;82958;41021
4100301;2021;216923;15128;201795;74699;12694;66291;48110
4202073;2021;216920;11032;205889;28838;18804;89479;68768
1504505;2021;216855;4339;212516;31533;6086;22304;152593
2301703;2021;216792;12520;204272;31833;6992;65680;99768
2931608;2021;216766;5072;211694;95788;9336;37499;69071
1301803;2021;216519;6084;210435;16713;7758;32395;153569
2609105;2021;216295;13808;202487;33081;40947;49813;78645
1707207;2021;216149;22581;193568;95410;21870;26718;49571
3504909;2021;216018;15261;200757;11796;36130;93762;59069
3517000;2021;215988;8211;207777;74848;6036;73131;53761
4107553;2021;215745;11603;204142;129271;7230;45368;22272
3140530;2021;215681;24474;191207;26413;55296;68393;41105
4113601;2021;215579;17361;198218;64969;39904;63505;29841
1301506;2021;215527;7013;208513;45372;9556;38934;114651
5102850;2021;215114;15432;199681;92442;15275;34446;57518
3535200;2021;215050;9375;205676;60535;12976;94050;38115
3302452;2021;214875;26012;188862;5305;47805;67231;68521
3545704;2021;214791;18301;196490;30195;55698;77797;32799
2202000;2021;214747;12557;202191;35389;13690;51960;101152
2608305;2021;214224;8515;205709;56131;17411;47414;84754
2414605;2021;214155;12656;201499;13530;40968;55724;91278
2102556;2021;214038;18042;195996;74812;6281;53305;61599
3525854;2021;214000;32719;181280;18362;86777;55533;20608
3146305;2021;213919;12243;201677;7324;13446;86290;94617
